Main_theme,Subtheme,Subtheme_Description,Main_Theme_ID,Subtheme_ID
Workforce hiring and talent management,Qualified staff,"Comments about hiring, utilizing, or retaining employees with the right and appropriate skills and expertise.",1,1
Workforce hiring and talent management,Employee training,Comments about employee learning and development opportunities and ensuring employees are trained in the right skills.,1,2
Workforce hiring and talent management,Onboarding new employees,Comments about improving the training and orientation of new hires.,1,3
Workforce hiring and talent management,Career growth,Comments about creating opportunities for advancement or professional development.,1,4
Workforce hiring and talent management,Employee pay and benefits,"Comments about employee compensation, including pay, hours, and benefits such as health insurance or leave.",1,5
Workforce hiring and talent management,Employee performance reviews,Comments about how employee performance is measured and reviewed.,1,6
Workforce hiring and talent management,Job classification,"Comments about updating or clarifying job titles, duties, or classifications.",1,7
Workforce hiring and talent management,Hiring and recruitment,Comments about simplifying or enhancing the processes for attracting and hiring talent for state positions.,1,8
Workforce hiring and talent management,Employee retention,Comments about reducing employee turnover or employees desire to stay at their jobs.,1,9
Workforce hiring and talent management,Mentorship programs,Comments about pairing employees for guidance and learning.,1,10
Workforce hiring and talent management,Understaffing,"Comments about staff shortages, the need for more staff, or workload imbalances.",1,11
Workforce hiring and talent management,Limited-term positions,Comments about addressing challenges or opportunities with temporary roles.,1,12
Process improvement,Digitize processes,Comments about improving manual or paper-based steps with digital tools or automation.,2,13
Process improvement,Process design and methodologies,"Comments about creating or improving processes, including using structured methods or best practices such as lean six sigma.",2,14
Process improvement,Process documentation,Comments about creating or refining documentation of workflow processes.,2,15
Process improvement,Process delays,Comments about bottlenecks and other types of delays in workflows.,2,16
Process improvement,Bureaucracy,"Comments about unnecessary rules, paperwork, or administrative barriers.",2,17
Process improvement,Policy development process,"Comments about making the creation and revision of policies faster, more transparent or more effective.",2,18
Communication and knowledge sharing,Cross-agency collaboration,"Comments about coordination and communication between state or federal government agencies or departments, including breaking down siloes.",3,19
Communication and knowledge sharing,Internal communication,Comments about communication within an agency or between teams.,3,20
Communication and knowledge sharing,Internal feedback,"Comments about gathering, sharing, or acting on employee feedback within the organization.",3,21
Communication and knowledge sharing,Plain language,"Comments about using clear, accessible, and jargon-free language in state communications.",3,22
Communication and knowledge sharing,Translations,Comments about translation services or multilingual access for state materials or communications.,3,23
Communication and knowledge sharing,Knowledge management,"Comments about capturing, storing, and sharing institutional knowledge, best practices, and resources.",3,24
Communication and knowledge sharing,Statewide directory,Comments about improving or maintaining a centralized directory of state employees or agencies.,3,25
Public-facing services and resident experience,Public policy initiatives,Comments and ideas related to public policies and public-facing governmental programs and action plans.,4,26
Public-facing services and resident experience,Public service delivery and responsiveness,"Comments about making government services faster, easier, or more responsive to residents, including help desks, call centers, and online resources.",4,27
Public-facing services and resident experience,Public participation,Comments about resident engagement or input in government decisions.,4,28
Public-facing services and resident experience,Human-centered design,,4,29
Public-facing services and resident experience,Public transportation,"Comments about public transit access, reliability, or affordability.",4,30
Budget and resources,Physical infrastructure,"Comments about the importance and costs to maintain and steward physical state-owned resources such as office buildings, roads, and parks.",5,31
Budget and resources,Procurement,"Comments about improving how the state purchases goods and services, including bidding, vendor selection, and purchasing efficiency.",5,32
Budget and resources,Contracts and vendors,"Comments about managing, evaluating, or selecting contracts with external vendors or partners.",5,33
Budget and resources,Budgeting and funding,"Comments about how government funds are allocated, distributed, or prioritized.",5,34
Budget and resources,"Permits, licensing, and fees","Comments about how permits, licenses, or related fee structures are managed, determined, eliminated or streamlined.",5,35
Budget and resources,Shared resources,"Comments about sharing or pooling staff, digital tools, equipment, or funding across agencies or departments to reduce costs.",5,36
Budget and resources,Expense reimbursement,"Comments about how employees submit, process, and receive reimbursements for work-related expenses.",5,37
Budget and resources,State-spending audits,"Comments about how government spending is reviewed, tracked, or audited for efficiency or waste.",5,38
Budget and resources,Participatory budgeting,"Comments about involving employees, residents, or communities in deciding how funds are spent.",5,39
Technology and digital innovation,Technology and data modernization,Comments about updating legacy data and technology systems or standardizing technology across departments.,6,40
Technology and digital innovation,State cloud storage,"Comments about secure, efficient, or standardized cloud storage for state data.",6,41
Technology and digital innovation,Digital services,Comments about creating or enhancing online services and platforms offered to residents of the state.,6,42
Technology and digital innovation,Shared data,Comments about sharing data across or between government agencies for efficiency.,6,43
Technology and digital innovation,AI and large language models,,6,44
Technology and digital innovation,Software and tools,Comments about adopting or improving software tools used by employees.,6,45
Technology and digital innovation,Accessibility,Comments about making government content and tools usable by people with disabilities.,6,46
Management culture and leadership,Management culture and leadership approach,"Comments about leadership style, decision-making, or communication from management.",7,47
Management culture and leadership,Leadership review and oversight,Comments about evaluating or holding leaders accountable for performance or ethics.,7,48
Management culture and leadership,Manager training,Comments about training and support for current or new managers or preparing employees for leadership roles.,7,49
Workplace operations,Office management,"Comments about facilities, workspace organization, or other physical office-related management.",8,50
Workplace operations,Environmental sustainability,"Comments about workplace practices relating to environmental stewardship, carbon emissions, and uses of natural resources",8,51
Workplace operations,Remote work and return to office,"Comments about flexible work options, telework, hybrid schedules, or office return policies.",8,52
Workplace operations,Employee travel,"Comments about streamlining or improving travel policies, approvals, and reimbursements for parking and other employee travel.",8,53
Organizational structure and culture,Trust and openness,"Comments about respect, trust, and open dialogue across the workplace.",9,54
Organizational structure and culture,Work culture,"Comments about improving workplace environment, morale, or team dynamics.",9,55
Organizational structure and culture,Growth mindset,"Comments about continuous learning, experimentation, and improvement among employees.",9,56
Organizational structure and culture,Consolidate government agencies,Comments about merging or reorganizing agencies for efficiency or better coordination.,9,57
Organizational structure and culture,Risk aversion,Comments about unnecessary caution or fear of innovation within government work.,9,58
Organizational structure and culture,Inclusion and diversity,"Comments about an equitable, diverse, and inclusive workplace.",9,59
Organizational structure and culture,Networking,Comments about creating or strengthening professional connections among employees or across agencies.,9,60
Governance and oversight,Align policy and implementation,Comments about gaps between policy statutes and how they are carried out in practice.,10,61
Governance and oversight,Compliance,"Comments about adherence to laws, regulations, or internal policies.",10,62
Governance and oversight,Org structure and hierarchy,"Comments about how leadership, staffing, or reporting structures could be adjusted for efficiency or fairness.",10,63
Governance and oversight,Accountability and transparency,"Comments about public or internal visibility into decisions, spending, or outcomes.",10,64
Governance and oversight,Policymaking,"Comments about how policies are developed, reviewed, or improved to be more effective or inclusive.",10,65
